Time,Section,Index,Line,Word,Misspelled,Triggered
2021-12-31T18:27:41.0226108-05:00,0,186,22,did,False,False
2021-12-31T18:27:41.3026123-05:00,0,187,22,what,False,False
2021-12-31T18:27:42.5526120-05:00,0,185,22,potter,False,False
2021-12-31T18:27:42.5866110-05:00,0,184,22,The,False,False
2021-12-31T18:27:42.6086125-05:00,0,183,22,away.',False,False
2021-12-31T18:27:43.0776136-05:00,0,190,23,had,False,False
2021-12-31T18:27:43.6026124-05:00,0,190,23,had,False,False
2021-12-31T18:27:43.8156123-05:00,0,191,23,said.,False,False
2021-12-31T18:27:44.0946109-05:00,0,192,23,He,False,False
2021-12-31T18:27:44.3747150-05:00,0,193,23,left,False,False
2021-12-31T18:27:45.7477621-05:00,0,194,23,the,False,False
2021-12-31T18:27:45.9827621-05:00,0,195,23,donkey,False,False
2021-12-31T18:27:46.6297946-05:00,0,196,23,and,False,False
2021-12-31T18:27:46.6977956-05:00,0,206,24,to,False,False
2021-12-31T18:27:46.9987930-05:00,0,205,24,up,False,False
2021-12-31T18:27:47.0097956-05:00,0,206,24,to,False,False
2021-12-31T18:27:47.0207926-05:00,0,205,24,up,False,False
2021-12-31T18:27:47.0317929-05:00,0,203,24,he,False,False
2021-12-31T18:27:47.0437937-05:00,0,202,24,When,False,False
2021-12-31T18:27:47.1107938-05:00,0,201,24,nap.,False,False
2021-12-31T18:27:47.4127952-05:00,0,200,24,a,False,False
2021-12-31T18:27:48.1387949-05:00,0,201,24,nap.,False,False
2021-12-31T18:27:48.3507951-05:00,0,202,24,When,False,False
2021-12-31T18:27:48.6967929-05:00,0,203,24,he,False,False
2021-12-31T18:27:48.7187947-05:00,0,204,24,woke,False,False
2021-12-31T18:27:49.0767929-05:00,0,205,24,up,False,False
2021-12-31T18:27:49.3217944-05:00,0,206,24,to,False,False
2021-12-31T18:27:49.5787947-05:00,0,203,24,he,False,False
2021-12-31T18:27:49.5907942-05:00,0,202,24,When,False,False
2021-12-31T18:27:49.7577924-05:00,0,202,24,When,False,False
2021-12-31T18:27:49.7797931-05:00,0,202,24,When,False,False
2021-12-31T18:27:50.0489048-05:00,0,201,24,nap.,False,False
2021-12-31T18:27:50.3159050-05:00,0,209,25,and,False,False
2021-12-31T18:27:50.7629054-05:00,0,210,25,relief,False,False
2021-12-31T18:27:51.2099032-05:00,0,212,25,found,False,False
2021-12-31T18:27:51.8249603-05:00,0,213,25,the,False,False
2021-12-31T18:27:52.0939606-05:00,0,214,25,donkey,False,False
2021-12-31T18:27:52.8630007-05:00,0,213,25,the,False,False
2021-12-31T18:27:52.8849991-05:00,0,212,25,found,False,False
2021-12-31T18:27:52.8959998-05:00,0,211,25,he,False,False
2021-12-31T18:27:52.9310028-05:00,0,210,25,relief,False,False
2021-12-31T18:27:53.1979994-05:00,0,209,25,and,False,False
2021-12-31T18:27:53.9240014-05:00,0,210,25,relief,False,False
2021-12-31T18:27:53.9350028-05:00,0,219,26,place.,False,False
